Club,Position,Age,Appearances,Wins,Losses,Shots,Shots on target,Big chances missed,Tackles,Interceptions,Clearances,Recoveries,Duels won,Duels lost,Passes,Big chances created,Crosses,Yellow cards,Red cards,Fouls,Offsides,Goals,Assists,Name
4,3,28.0,70,37,18,33.0,13.0,1.0,147.0,130.0,64.0,533.0,256.0,306.0,5482,12.0,12.0,18,0,63,0.0,7,3,Jorginho
4,3,29.0,166,98,35,120.0,29.0,7.0,540.0,420.0,184.0,1320.0,922.0,920.0,8952,15.0,86.0,22,0,218,7.0,10,10,N'Golo Kanté
4,3,26.0,202,91,59,411.0,119.0,25.0,172.0,76.0,108.0,755.0,973.0,1048.0,7686,32.0,322.0,18,0,155,19.0,25,27,Ross Barkley
4,3,24.0,78,35,22,78.0,19.0,6.0,54.0,44.0,41.0,266.0,355.0,337.0,1854,7.0,16.0,1,0,39,6.0,9,6,Ruben Loftus-Cheek
4,3,26.0,64,34,16,49.0,9.0,2.0,108.0,30.0,34.0,300.0,320.0,222.0,3398,4.0,16.0,11,0,40,0.0,1,5,Mateo Kovacic
4,3,21.0,39,20,13,80.0,29.0,9.0,43.0,18.0,19.0,151.0,136.0,211.0,1312,8.0,138.0,3,0,40,4.0,7,5,Mason Mount
4,3,22.0,25,13,9,63.0,26.0,8.0,23.0,6.0,7.0,79.0,128.0,190.0,668,6.0,35.0,0,0,14,3.0,9,4,Christian Pulisic
4,3,19.0,6,5,0,1.0,0.0,0.0,5.0,3.0,2.0,15.0,10.0,16.0,172,0.0,1.0,0,0,3,0.0,0,0,Billy Gilmour
4,3,21.0,2,1,1,0.0,0.0,0.0,3.0,0.0,1.0,10.0,6.0,9.0,41,0.0,1.0,0,0,2,1.0,0,0,Kai Havertz
4,1,24.0,2,1,1,6.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,49,0.0,0.0,0,0,3,2.0,0,0,Timo Werner
4,1,22.0,68,25,29,133.0,56.0,26.0,18.0,8.0,39.0,0.0,0.0,0.0,721,6.0,26.0,2,0,35,35.0,20,4,Tammy Abraham
4,1,33.0,238,133,56,548.0,212.0,82.0,145.0,64.0,178.0,0.0,0.0,0.0,4718,40.0,90.0,18,2,223,120.0,86,28,Olivier Giroud
4,1,19.0,35,18,12,29.0,8.0,2.0,18.0,8.0,4.0,0.0,0.0,0.0,641,8.0,87.0,1,0,12,6.0,1,6,Callum Hudson-Odoi
5,2,33.0,181,47,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4858,0.0,0.0,4,0,1,0.0,0,1,Wayne Hennessey
5,2,33.0,57,23,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428,0.0,0.0,3,0,1,0.0,0,0,Vicente Guaita
5,2,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Stephen Henderson
5,0,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,Nathan Ferguson
5,0,30.0,201,66,95,0.0,0.0,0.0,483.0,368.0,796.0,1013.0,1218.0,812.0,6449,9.0,407.0,28,0,202,4.0,4,5,Joel Ward
5,0,30.0,191,57,92,0.0,0.0,0.0,350.0,326.0,439.0,1126.0,680.0,566.0,6833,25.0,388.0,19,0,94,27.0,20,14,Patrick van Aanholt
5,0,31.0,263,84,116,0.0,0.0,0.0,447.0,443.0,2029.0,989.0,1442.0,817.0,8210,8.0,51.0,46,2,167,7.0,12,7,James Tomkins
5,0,33.0,227,74,95,0.0,0.0,0.0,291.0,343.0,1536.0,785.0,1016.0,698.0,6399,11.0,24.0,34,0,145,10.0,15,11,Scott Dann
5,0,30.0,125,52,43,0.0,0.0,0.0,144.0,200.0,697.0,847.0,534.0,348.0,5917,2.0,6.0,6,1,39,1.0,3,2,Mamadou Sakho
5,0,34.0,374,166,126,0.0,0.0,0.0,471.0,452.0,2849.0,1441.0,1946.0,1036.0,12718,8.0,23.0,38,3,266,3.0,27,10,Gary Cahill
